metacountry;metacountry_label;country;start_precision;start;end_precision;end;;;;
Metastate_Q148;Китайская Народная Республика;Q185043;2;1.01.220;2;1.01.280;;;;
Metastate_Q148;Китайская Народная Республика;Q7352;2;1.01.265;2;1.01.420;;;;
Metastate_Q148;Китайская Народная Республика;Q49696;2;1.01.386;2;1.01.590;;;;
Metastate_Q148;Китайская Народная Республика;Q7405;2;1.01.581;2;1.01.618;;;;
Metastate_Q148;Китайская Народная Республика;Q9683;2;1.01.618;2;1.01.907;;;;
Metastate_Q148;Китайская Народная Республика;Q242115;2;1.01.907;2;1.01.960;;;;
Metastate_Q148;Китайская Народная Республика;Q4958;2;1.01.907;2;1.01.1125;;;;
Metastate_Q148;Китайская Народная Республика;Q7462;2;1.01.960;2;1.01.1279;;;;
Metastate_Q148;Китайская Народная Республика;Q12557;2;1.01.1206;2;1.01.1368;;;;
Metastate_Q148;Китайская Народная Республика;Q7313;2;1.01.1271;2;1.01.1368;;;;
Metastate_Q148;Китайская Народная Республика;Q9903;2;1.01.1368;2;1.01.1644;;;;
Metastate_Q148;Китайская Народная Республика;Q8733;2;1.01.1644;2;1.01.1912;;;;
